"filename", "language", "C++", "Makefile", "Docker", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Python", "CSS", "TypeScript JSX", "comment", "blank", "total"
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ws/server_wrapper.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/net/ws/wrapper.h", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 78
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/thread/thread_pool.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/base64.h", "C++", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 30, 253
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/bits.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/logger.h", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/util/str.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/client_packet.cpp", "C++", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 96
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/device.cpp", "C++", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 168
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/device_states/device_state.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/device_states/rgb_lights_state.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 83
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/message.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request/login_device_request.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request/request.cpp", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request/validate_request.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/request_maker.cpp", "C++", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 42, 214
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/login_device_response.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/response.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/validate_device_response.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/response/validate_user_response.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/api/state.cpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 49
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/common.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/generic.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/parser.cpp", "C++", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 123
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/request.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/http/response.cpp", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/json/document.cpp", "C++", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 105
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/client.cpp", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 120
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/client_connection.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/connection.cpp", "C++", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 145
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/server.cpp", "C++", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91, 395
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ssl/server_connection.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ws/client_wrapper.cpp", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ws/server_wrapper.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/net/ws/wrapper.cpp", "C++", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 31, 159
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/thread/thread_pool.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 76
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/util/bits.cpp", "C++", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 94
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/src/util/logger.cpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 55
